person_id,gr9_fall_math,gr9_fall_sci,gr9_fall_eng,gr9_fall_hist,gr9_spring_math,gr9_spring_sci,gr9_spring_eng,gr9_spring_hist,gr10_fall_math,gr10_fall_sci,gr10_fall_eng,gr10_fall_hist,gr10_spring_math,gr10_spring_sci,gr10_spring_eng,gr10_spring_hist
1,,B,A,A,,D,A,B,D,A,A,D,A,A,A,A
5,D,B,A,A,A,D,D,A,D,A,A,A,,,,A
8,,D,F,A,A,D,,D,A,D,B,,D,D,A,
10,B,A,A,A,B,,A,D,A,A,A,A,A,A,A,F
11,B,,,A,F,B,D,,D,,A,F,A,B,D,D
12,F,D,D,D,B,D,B,A,A,D,,F,B,,A,B
13,,,B,,D,A,A,,D,D,B,,A,D,A,A
14,,,B,A,B,D,A,B,F,,F,,A,A,A,
15,,A,A,D,A,D,A,A,D,A,F,A,A,A,A,D
16,B,A,A,D,A,,,A,B,B,A,B,A,,A,
17,D,A,A,A,B,,A,,D,,D,A,B,A,A,B
18,A,D,A,B,B,A,A,A,B,A,A,D,A,A,A,A
19,A,D,D,D,,,,C,D,F,,B,,A,,A
21,,,F,A,D,F,,A,,A,,A,D,A,,A
24,A,A,B,,A,C,A,A,A,A,A,D,A,A,D,A
25,A,A,A,A,D,,F,D,B,A,A,D,A,A,B,D
26,C,,A,B,,,A,A,C,D,F,A,,D,D,A
27,,A,F,B,B,,B,A,D,A,D,A,,A,F,
28,,,,B,A,A,B,,A,B,A,F,,A,,A
29,F,,,B,,F,A,A,F,,,A,D,A,A,A
30,A,D,,D,,,,D,A,A,D,A,A,A,B,
31,D,,B,B,A,A,C,A,D,D,D,F,A,A,B,A
32,,A,A,A,B,A,A,,A,D,D,A,A,A,D,A
33,A,C,A,A,D,,F,B,A,,D,A,A,B,B,B
38,B,B,B,D,A,,A,D,A,B,A,A,D,A,B,F
40,B,A,D,A,A,D,A,A,B,D,A,,A,A,A,D
42,F,A,A,B,D,,D,D,F,,B,,A,D,,D
47,A,,A,A,A,A,D,A,A,B,,,D,A,D,A
48,D,D,,F,B,A,A,,A,,D,A,A,A,A,A
51,A,F,A,A,,A,A,D,A,D,D,A,D,D,D,F
52,A,D,B,D,A,B,A,D,A,B,D,D,,B,,D
53,A,D,B,A,B,D,,D,B,A,A,B,A,F,,D
54,D,A,A,A,A,A,A,F,A,A,,A,D,C,D,A
57,,,B,,A,F,B,B,,,,,B,B,B,
58,A,A,A,B,D,A,D,D,,B,D,B,A,D,D,B
59,A,D,A,A,F,,A,B,B,,D,A,A,D,A,D
63,A,D,B,D,A,,A,D,D,,A,A,D,B,D,
64,D,A,A,D,F,D,A,,D,D,C,D,D,D,B,B
66,A,,A,B,A,,A,,A,A,A,A,,A,,D
67,D,A,A,,A,,A,A,A,A,B,F,A,A,B,A
69,A,A,A,B,A,D,B,A,,B,A,D,A,,A,
70,A,D,A,A,B,,A,A,D,A,,A,A,B,D,A
71,A,A,A,F,F,A,D,A,B,A,D,A,A,,D,
74,B,,A,B,,A,A,D,A,D,A,A,D,D,B,A
77,D,,A,A,,D,D,A,D,A,B,B,A,C,D,A
79,D,A,B,,B,D,D,,B,A,F,F,A,A,A,
84,B,A,A,B,B,B,A,A,,A,,B,A,B,A,
85,B,D,D,,A,D,,D,A,A,A,,D,A,A,A
